id,Name,Fueltype,Classification,Country,Capacity,lat,lon,Geoposition,File
0,Alfta,Hydro,run-of-river,Sweden,20.0,61.341075,16.006847,"61.341075,16.006847",
1,Balforsens krv,Hydro,run-of-river/reservoir,Sweden,105.0,64.652384,18.4948355,"64.652384,18.4948355",
2,Blasjö,Hydro,run-of-river,Sweden,57.0,59.593787,14.354892,"59.593787,14.354892",
3,Dönje,Hydro,run-of-river,Sweden,40.0,61.389765,16.388557,"61.389765,16.388557",
4,Edensforsen,Hydro,run-of-river,Sweden,60.0,63.690491,16.872475,"63.690491,16.872475",
5,Forsmo,Hydro,run-of-river/reservoir,Sweden,300.0,63.269749,17.204564,"63.269749,17.204564",
6,Grundforsen,Hydro,run-of-river,Sweden,88.0,61.274285,12.852567,"61.274285,12.852567",
7,Gulsele,Hydro,run-of-river/reservoir,Sweden,108.0,63.821222,17.145008,"63.821222,17.145008",
8,Harrsele,Hydro,run-of-river,Sweden,200.0,64.000342,19.566667,"64.000342,19.566667",
9,Harspranget,Hydro,run-of-river/reservoir,Sweden,660.0,66.885835,19.815838,"66.885835,19.815838",
10,Hjälta,Hydro,run-of-river,Sweden,180.0,62.983391,17.866538,"62.983391,17.866538",
11,Hojum,Hydro,run-of-river/reservoir,Sweden,370.0,58.280207,12.278508,"58.280207,12.278508",
12,Jarpströmm,Hydro,run-of-river,Sweden,120.0,63.344498,13.460305,"63.344498,13.460305",
13,Kilforsen,Hydro,run-of-river/reservoir,Sweden,855.0,63.556499,16.662825,"63.556499,16.662825",
14,Klippen,Hydro,run-of-river,Sweden,25.0,56.123701,13.11603,"56.123701,13.11603",
15,Flottarselet korsselbränna,Hydro,reservoir,Sweden,,,,,
16,St raijan korsselbränna,Hydro,run-of-river/reservoir,Sweden,330.0,64.448953,15.5661333333,"64.448953,15.5661333333",
17,Krangede,Hydro,run-of-river/reservoir,Sweden,180.0,63.146633,16.070333,"63.146633,16.070333",
18,Krokströmm,Hydro,run-of-river,Sweden,50.0,65.0233,19.6888,"65.0233,19.6888",
19,Kvistforsen,Hydro,run-of-river,Sweden,130.0,64.744883,20.863433,"64.744883,20.863433",
20,Laforsen,Hydro,run-of-river/reservoir,Sweden,64.0,61.937373,15.521949,"61.937373,15.521949",
21,Langströmm,Hydro,run-of-river,Sweden,40.0,62.106128,14.995905,"62.106128,14.995905",
22,Lasele,Hydro,run-of-river/reservoir,Sweden,248.0,63.555408,16.840305,"63.555408,16.840305",
23,Ligga,Hydro,run-of-river/reservoir,Sweden,340.0,65.586753,22.041857,"65.586753,22.041857",
24,Lossen,Hydro,run-of-river/reservoir,Sweden,124.0,65.795329,22.570443,"65.795329,22.570443",
25,Messaure,Hydro,run-of-river/reservoir,Sweden,480.0,66.683333,20.333333,"66.683333,20.333333",
26,Mittan,Hydro,run-of-river,Sweden,88.0,62.455954,13.197702,"62.455954,13.197702",
27,Mockfjords,Hydro,run-of-river,Sweden,12.0,60.501506,14.964287,"60.501506,14.964287",
28,Norränge kraftverk,Hydro,run-of-river/reservoir,Sweden,80.0,61.489482,16.381977,"61.489482,16.381977",
29,Parteboda,Hydro,run-of-river,Sweden,30.0,62.517539,15.691329,"62.517539,15.691329",
30,Porjus,Hydro,run-of-river/reservoir,Sweden,304.0,66.961944,19.804167,"66.961944,19.804167",
31,Ramsele,Hydro,run-of-river/reservoir,Sweden,300.0,63.541981,16.45496,"63.541981,16.45496",
32,Ritsem,Hydro,run-of-river,Sweden,320.0,67.725763,17.474991,"67.725763,17.474991",
33,Saellsjoe,Hydro,run-of-river,Sweden,106.0,63.237771,13.68504,"63.237771,13.68504",
34,Seitevare,Hydro,run-of-river/reservoir,Sweden,450.0,66.976111,18.578056,"66.976111,18.578056",
35,Stalon,Hydro,run-of-river,Sweden,100.0,64.94545,15.82789,"64.94545,15.82789",
36,Storfinfors,Hydro,run-of-river,Sweden,70.0,63.597386,16.119386,"63.597386,16.119386",
37,Storrnorfors,Hydro,run-of-river,Sweden,375.0,63.8525,20.051667,"63.8525,20.051667",
38,Tasan,Hydro,run-of-river,Sweden,35.0,59.386351,13.569723,"59.386351,13.569723",
39,Torpshammar,Hydro,run-of-river/reservoir,Sweden,172.0,62.49192,16.3470285,"62.49192,16.3470285",
40,Trängslet,Hydro,run-of-river/reservoir,Sweden,490.0,61.384737,13.7354715,"61.384737,13.7354715",
41,Umluspen,Hydro,run-of-river,Sweden,88.0,65.095,17.101667,"65.095,17.101667",
42,Vargforsen,Hydro,run-of-river,Sweden,92.0,65.0233,19.6888,"65.0233,19.6888",
43,Vietas,Hydro,run-of-river/reservoir,Sweden,640.0,67.489867,18.3323335,"67.489867,18.3323335",
44,Juktan,Hydro,pumped storage,Sweden,334.0,64.986262,17.739707,"64.986262,17.739707",
45,Kymmen,Hydro,pumped storage,Sweden,56.0,59.974327,12.757321,"59.974327,12.757321",
46,Letten,Hydro,pumped storage/reservoir,Sweden,108.0,60.711169,12.671745,"60.711169,12.671745",
47,Abelvattnet,Hydro,reservoir,Sweden,4.6,65.545168,14.981899,"65.545168,14.981899",
48,Ajaure,Hydro,reservoir,Sweden,75.0,65.509167,15.625556,"65.509167,15.625556",
49,Akkats,Hydro,reservoir,Sweden,150.0,66.631389,19.819722,"66.631389,19.819722",
50,Älvkarleby,Hydro,reservoir,Sweden,126.0,60.563681,17.44205,"60.563681,17.44205",
51,Anundsjö krv,Hydro,reservoir,Sweden,,,,,
52,Asele,Hydro,reservoir,Sweden,27.0,64.098361,17.306503,"64.098361,17.306503",
53,Asens krv,Hydro,reservoir,Sweden,,61.28048,13.816319,"61.28048,13.816319",
54,Bassalt,Hydro,reservoir,Sweden,,,,,
55,Bastusel,Hydro,reservoir,Sweden,107.0,65.412145,18.657828,"65.412145,18.657828",
56,Batfors,Hydro,reservoir,Sweden,42.0,64.832573,20.223732,"64.832573,20.223732",
57,Bergeforsen,Hydro,reservoir,Sweden,168.0,62.518313,17.382675,"62.518313,17.382675",
58,Bjurfors nedre krv,Hydro,reservoir,Sweden,78.0,,,,
59,Bjurfors Övre krv,Hydro,reservoir,Sweden,,,,,
60,Blybergs kraftverk,Hydro,reservoir,Sweden,15.0,61.146912,14.146147,"61.146912,14.146147",
