id,Carma,Fias,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
0,Waldeck,Waldeck,Waldeck,Waldeck Bringhausen,Germany,Hydro,Pumped Storage,620.0,51.1772281101,9.05575413208,energy_storage_exchange / Germany Power Plants (conventional).csv
1,Cheylas,Le cheylas,Cheylas Le,Cheylas,France,Hydro,Pumped Storage,480.0,45.3794293333,5.995288,energy_storage_exchange / France Power Plant.csv
2,Pouget,Le pouget,Pouget Le,Pouget,France,Hydro,Reservoir,572.5,44.056468,2.76475866667,energy_storage_exchange / France Power Plant.csv
3,Anapo,Anapo solarino,Anapo,Anapo C.Le,Italy,Hydro,Pumped Storage,500.0,37.133784975,15.156584,energy_storage_exchange / Italy Power Plant.csv
4,Akkats,Akkats,Akkats,Akkats,Sweden,Hydro,Reservoir,150.0,66.5643886115,20.0879879882,Sweden Power Plant.csv
5,Olidan,Olidan,Olidan,Olidan,Sweden,Hydro,Reservoir,77.0,58.1949120004,12.2286306403,Sweden Power Plant.csv
6,Revin,Revin,Revin,Revin,France,Hydro,Pumped Storage,1600.0,49.9253597425,4.6181762797,energy_storage_exchange / France Power Plant.csv
7,Montezic,Montézic,Montezic Pump,Montezic,France,Hydro,Pumped Storage,910.0,44.717845,2.64014933333,energy_storage_exchange / France Power Plant.csv
8,Coche,Coche,Coche,Coche,France,Hydro,Pumped Storage,300.0,45.4817777667,6.53277776667,energy_storage_exchange / France Power Plant.csv
9,Turlough Hill,Turlough hill,Turlough Hill Tomaneena,Turlough,Ireland,Hydro,Pumped Storage,292.0,53.0504740667,-6.32667036667,energy_storage_exchange / Ireland and Northern Ireland.csv
10,Entracque Rovina,Rovina entracque,Entracque Rovina Piastra,Entracque Rovina,Italy,Hydro,Pumped Storage,134.0,44.2371125,7.3950905,energy_storage_exchange / Italy Power Plant.csv
11,Roncovalgrande (Delio),Roncovalgrande lago delio,Roncovalgrande,Roncovalgrande,Italy,Hydro,Pumped Storage,1016.0,46.0468636187,8.73360983211,energy_storage_exchange / Italy Power Plant.csv
12,Fiorano,San fiorano,San Fiorano,S.Fiorano,Italy,Hydro,Pumped Storage,568.0,45.824139225,10.192063775,energy_storage_exchange / Italy Power Plant.csv
13,Presenzano,Domenico cimarosa presenzano,Presenzano Domenico Cimarosa,Presenzano,Italy,Hydro,Pumped Storage,1000.0,41.3787045,14.083295,energy_storage_exchange / Italy Power Plant.csv
14,Edolo,Edolo,Edolo,Edolo,Italy,Hydro,Pumped Storage,1000.0,46.1768495,10.3340795,energy_storage_exchange / Italy Power Plant.csv
15,Markersbach,Markersbach,Markersbach,Markersbach,Germany,Hydro,Pumped Storage,1045.0,50.6511902,12.868301975,energy_storage_exchange / Germany Power Plants (conventional).csv
16,Goldisthal,Goldisthal,Goldisthal,Goldisthal,Germany,Hydro,Pumped Storage,1060.0,50.510727125,11.044853875,energy_storage_exchange / Germany Power Plants (conventional).csv
17,Porjus Nya,Porjus,Porjus,Porjus,Sweden,Hydro,Reservoir,465.0,66.9600713201,19.8090654095,Sweden Power Plant.csv
18,Boden,Boden,Boden,Boden,Sweden,Hydro,Reservoir,78.0,65.8199766043,21.6848721673,Sweden Power Plant.csv
19,Cruachan,Cruachan,Cruachan Scotland,Cruachan,United Kingdom,Hydro,Pumped Storage,400.0,56.498084054,-4.8292122649,energy_storage_exchange / UK Power Plant.csv
20,Villarino,Villarino almendra reversible,Almendra Villarino,Villarino,Spain,Hydro,Reservoir,842.0,41.826492,-6.370078,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
