Name,Country,lat,lon
HKW Reuter West,Germany,52.5351386,13.2426717
Kraftwerk Rostock,Germany,54.0924406,12.0991466
Charlottenburg,Germany,52.5166023,13.3041054
HKW Nord,Germany,48.1812841,11.6370757
GTHKW Nossener Bruecke,Germany,51.0417609,13.7101155
Schkopau,Germany,51.3900745,11.9851505
Windpark Havelland,Germany,52.6045635,12.3371397
PSW Markersbach,Germany,50.5246939,12.8754757
HKW Moorburg,Germany,53.4929396,9.925873099999999
Moabit,Germany,52.53078290000001,13.3471759
PSW Hohenwarte II,Germany,50.60628010000001,11.4793691
UW Druxberge,Austria,47.516231,14.550072
Wikinger_Prod,Germany,51.165691,10.451526
HKW Tiefstack,Germany,53.5269146,10.065522
HKW Klingenberg,Germany,51.165691,10.451526
HKW Mitte,Germany,52.511484,13.4209371
Windpark Baltic 1 and 2,Germany,51.165691,10.451526
KW Boxberg,Germany,51.4106168,14.5612295
HKW Lichterfelde,Germany,52.4243275,13.3087282
HKW Reuter,Germany,52.5317739,13.2469192
Industriekraftwerk PCK,Germany,53.0932725,14.2312787
KW Schwarze Pumpe,Germany,51.5342101,14.3506682
PSW Goldisthal,Germany,50.5219,11.00495
PSW Geesthacht,Germany,53.4187562,10.3942224
KW Lippendorf,Germany,51.1844741,12.3730612
HKW Wedel,Germany,53.58238129999999,9.7137465
KW Jänschwalde,Germany,51.8338094,14.4574711
Wilmersdorf,Germany,52.4904703,13.3144802
FIERZAG,Albania,42.13888499999999,20.2921577
BANJAG,Albania,41.153332,20.168331
KOMANG,Albania,41.153332,20.168331
VAUDEJG,Albania,41.153332,20.168331
Huckingen (HKM),Germany,51.3652323,6.7543986
HERDECKE,Germany,51.4031667,7.4328376
GuD Ludwigshafen Süd,Germany,49.4724651,8.4469932
KW Mainz-Wiesbaden,Germany,50.0446812,8.2531654
GuD Dormagen,Germany,51.09368509999999,6.828911199999999
Kraftwerk Römerbrücke,Germany,49.2239801,7.0151903
Kraftwerk Lausward,Germany,51.2216873,6.7316442
Vianden,Germany,51.165691,10.451526
GKM AG Amprion,Germany,51.165691,10.451526
Ensdorf,Germany,49.3062355,6.7804113
PSW-ROENK-KW,Germany,53.6110942,10.0976244
Knapsack 2,Germany,51.165691,10.451526
Weisweiler,Germany,50.8273398,6.3147251
Knapsack 1,Germany,51.165691,10.451526
Ibbenbüren,Germany,52.2767721,7.718994700000001
Niederaußem,Germany,50.9866606,6.6697881
Kraftwerk Flingern,Germany,51.165691,10.451526
Neurath,Germany,51.165691,10.451526
RUHRORT-KW,Germany,51.4499282,6.7483238
Elverlingsen,Germany,51.2753369,7.706670699999999
HKW III,Germany,51.3903121,6.748012
Kraftwerk Ensdorf,Germany,49.2950893,6.7741905
GuD Ludwigshafen Mitte,Germany,49.481621,8.4401198
Weiher,Germany,49.1787693,8.6219127
KW Lünen,Germany,51.6104829,7.5285074
Bergkamen,Germany,51.6158082,7.6429742
HAMBORN-KW,Germany,51.4984137,6.7768115
Schluchsee,Germany,47.818711,8.1771184
Emsland,Germany,52.5227021,7.3256322
Voelklingen,Germany,49.2556226,6.8588948
HKW Niehl,Germany,49.9542353,6.3625332
Walsum,Germany,51.52786889999999,6.7238275
KW Hamm-Uentrop,Germany,51.68807959999999,7.9464763
HKW Merkenich,Germany,51.0181732,6.9627637
Herne,Germany,51.5368948,7.200914699999999
Gundremmingen,Germany,48.5009611,10.4041776
Scholven,Germany,51.6109446,7.019461
Koepchenwerk,Germany,51.410796,7.4535523
Westfalen,Germany,51.43323669999999,7.661593799999999
Gersteinwerk,Germany,51.6720282,7.7113557
Bexbach,Germany,49.35602249999999,7.255374499999999
GDK-Mellach,Austria,46.9088314,15.491878
Ottensheim-Wilhering,Austria,48.332172,14.1743045
Gerlos,Austria,47.2248574,12.0306257
,,,
FHKW Linz Mitte,Austria,48.2991945,14.3227936
Kraftwerk Theiß,Austria,48.394813,15.7083593
Kraftwerk Timelkam Gesamtanlage,Austria,48.0019658,13.6060787
Kraftwerk Dürnrohr,Austria,48.33025,15.92399
FHKW Linz Süd,Austria,48.298612,14.322679
Kaprun-Hauptstufe,Austria,47.2594042,12.7414691
Malta-Hauptstufe,Austria,47.516231,14.550072
Kraftwerk Oschenik,Austria,46.9812289,13.0903527
KW Leopoldau,Austria,48.2778336,16.4535489
Kraftwerk Korneuburg,Austria,48.3319507,16.3387244
voestalpine KW Linz,Austria,48.30694,14.28583
Altenwörth,Austria,48.38507999999999,15.86117
Wallsee-Mitterkirchen,Austria,48.1445254,14.7117532
FHKW Mellach,Austria,46.9114258,15.4882994
Limberg II,Austria,47.516231,14.550072
Kaprun-Schwarzach,Austria,47.2728876,12.759674
Ybbs-Persenbeug,Austria,48.1764209,15.0820859
KW Kaunertal,Germany,51.165691,10.451526
Kaprun-Oberstufe,Austria,47.2728876,12.759674
Malta-Oberstufe,Austria,46.954256,13.5074964
KW Donaustadt,Austria,48.235551,16.4623916
KW Simmering,Austria,48.1690647,16.4217332
Reisseck 2,Austria,46.8810704,13.2906324
Kraftwerk Feldsee,Austria,47.0028178,13.0585975
Abwinden-Asten,Austria,48.2188234,14.4202806
Kraftwerk Hintermuhr,Austria,47.10781,13.46589
Freudenau,Austria,48.1862624,16.4415388
Kraftwerk Riedersbach 2,Austria,48.02354,12.84731
Mayrhofen,Austria,47.1691898,11.8651456
Häusling,Austria,48.25683,15.44507
Kraftwerk Außerfragant,Austria,46.93416,13.10536
Aschach,Austria,48.3641034,14.0193903
Melk,Austria,48.22647,15.34996
Greifenstein,Austria,48.34281,16.2313
DOEL 1,Belgium,51.31059759999999,4.264974899999999
SAINT-GHISLAIN STEG,Belgium,50.4705544,3.8169701
DOEL 4,Belgium,51.31059759999999,4.264974899999999
RODENHUIZE 4,Belgium,51.14727999999999,3.79202
Nobelwind Offshore Windpark,Belgium,50.503887,4.469936
COO II T,Belgium,50.39343,5.86944
Belwind Phase 1,Belgium,51.6484987,2.8348994
HERDERSBRUG STEG,Belgium,51.2698535,3.2129169
DROGENBOS TGV,Belgium,50.7872348,4.3172707
RINGVAART STEG,Belgium,51.04690586655641,3.727665136099148
INESCO WKK,Belgium,50.503887,4.469936
Marcinelle Energie (Carsid),Belgium,50.4076905,4.4237376
DOEL 2,Belgium,51.31059759999999,4.264974899999999
Zelzate 2 Knippegroen,Belgium,51.1569454,3.8127843
Rentel Offshore WP,Belgium,50.503887,4.469936
Scheldelaan Exxonmobil,Belgium,51.2999074,4.3074433
Zandvliet Power,Belgium,51.35964999999999,4.30716
TIHANGE 1N,Belgium,50.52969909999999,5.2614551
VILVOORDE GT,Belgium,50.926454,4.4258375
TIHANGE 3,Belgium,50.52969909999999,5.2614551
TIHANGE 2,Belgium,50.52969909999999,5.2614551
TIHANGE 1S,Belgium,50.52969909999999,5.2614551
Northwind,Belgium,50.503887,4.469936
Thorntonbank - C-Power - Area NE,Belgium,51.2359282,2.9268714
Amercoeur 1 R TGV,Belgium,50.6362947,5.5917374
DOEL 3,Belgium,51.31059759999999,4.264974899999999
Thorntonbank - C-Power - Area SW,Belgium,51.2359282,2.9268714
T-power Beringen,Belgium,51.05784550000001,5.104374099999999
PLATE-TAILLE T,Belgium,50.1857528,4.3823302
EDF Luminus Seraing TGV,Belgium,50.6099816,5.5141067
COO I T,Belgium,50.503887,4.469936
TE_TUZLA,Bosnia and Herzegovina,44.5199934,18.6057264
TE_KAKANJ,Bosnia and Herzegovina,44.0872452,18.1141114
TE_STANARI,Bosnia and Herzegovina,44.7381571,17.8240149
TE_UGLJEVIK,Bosnia and Herzegovina,44.6829417,18.9694604
TE_GACKO,Bosnia and Herzegovina,43.915886,17.679076
HE_VISEGRAD,Bosnia and Herzegovina,43.7613716,19.2889595
HE_CAPLJINA,Bosnia and Herzegovina,43.11182669999999,17.7054838
HE_DUBROVNIK,Bosnia and Herzegovina,43.915886,17.679076
CHP_EVN_PLOVDIV,Bulgaria,42.1354079,24.7452904
CHP_REPUBLIKA_PK,Bulgaria,42.733883,25.48583
HPP_KARDZHALI,Bulgaria,41.6338439,25.3777119
TEC_BOBOVDOL_EAD,Bulgaria,42.733883,25.48583
TPP_VARNA_BG,Bulgaria,42.733883,25.48583
TOPLO_RUSE,Bulgaria,43.83557130000001,25.9656554
TEC_MARITSA_3_AD,Bulgaria,42.0531501,25.6195507
HPP_IVAILOVGRAD,Bulgaria,41.52669789999999,26.1242717
NPP_KOZLODUY,Bulgaria,43.7438119,23.7723634
PSHPP_BELMEKEN,Bulgaria,42.1610917,23.8019562
HPP_SESTRIMO,Bulgaria,42.21573799999999,23.9209416
AES_MI1,Bulgaria,42.733883,25.48583
PSHPP_ORFEUS_GEN,Bulgaria,42.733883,25.48583
HPP_PESHTERA,Bulgaria,42.0298857,24.2987265
HPP_MOMINA_KLISU,Bulgaria,42.733883,25.48583
CHP_DEVEN,Bulgaria,42.733883,25.48583
CHP_SVILOZA,Bulgaria,42.733883,25.48583
