,OPSD,WRI
0,11.0,10.0
1,30.0,20.0
2,52.0,38.0
3,61.0,42.0
4,108.0,59.0
5,142.0,80.0
6,163.0,115.0
7,183.0,129.0
8,217.0,138.0
9,243.0,147.0
10,316.0,209.0
11,353.0,234.0
12,452.0,348.0
13,458.0,3346.0
14,486.0,387.0
15,504.0,391.0
16,506.0,3202.0
17,556.0,418.0
18,563.0,435.0
19,565.0,438.0
20,574.0,449.0
21,602.0,479.0
22,637.0,534.0
23,641.0,546.0
24,656.0,584.0
25,775.0,716.0
26,807.0,746.0
27,827.0,763.0
28,829.0,764.0
29,831.0,766.0
30,848.0,776.0
31,849.0,775.0
32,863.0,788.0
33,867.0,789.0
34,942.0,870.0
35,950.0,872.0
36,969.0,397.0
37,1061.0,936.0
38,1083.0,943.0
39,1096.0,2692.0
40,4183.0,3702.0
41,1141.0,1030.0
42,1152.0,1032.0
43,1169.0,1049.0
44,1170.0,1050.0
45,1250.0,1127.0
46,1255.0,1133.0
47,1257.0,1135.0
48,1264.0,1141.0
49,1269.0,1147.0
50,1276.0,1169.0
51,1300.0,1224.0
52,1320.0,1237.0
53,1344.0,1258.0
54,1376.0,1274.0
55,1451.0,1288.0
56,1476.0,1027.0
57,1477.0,1297.0
58,1489.0,3480.0
59,1502.0,1309.0
60,1509.0,1315.0
61,1514.0,1317.0
62,1541.0,1347.0
63,1599.0,1389.0
64,1607.0,1397.0
65,1628.0,1421.0
66,1633.0,1437.0
67,1647.0,1452.0
68,1672.0,1469.0
69,1673.0,4167.0
70,1678.0,1472.0
71,1690.0,1477.0
72,1713.0,1497.0
73,1727.0,1501.0
74,1794.0,1539.0
75,1801.0,1559.0
76,1872.0,1651.0
77,1884.0,1663.0
78,1903.0,1671.0
79,1907.0,2986.0
80,1926.0,1678.0
81,4312.0,3898.0
82,2058.0,1835.0
83,2217.0,1965.0
84,2218.0,1961.0
85,2219.0,1963.0
86,2267.0,1981.0
87,2285.0,1992.0
88,2288.0,1995.0
89,2345.0,2021.0
90,2380.0,2059.0
91,2381.0,2060.0
92,2385.0,2065.0
93,2421.0,2118.0
94,2428.0,2127.0
95,2457.0,2157.0
96,2482.0,1028.0
97,2492.0,2185.0
98,2493.0,2188.0
99,2509.0,2198.0
100,2548.0,2240.0
101,2604.0,2317.0
102,2618.0,2331.0
103,2619.0,2332.0
104,2653.0,2403.0
105,2666.0,2413.0
106,2673.0,2429.0
107,2679.0,2435.0
108,2704.0,2446.0
109,2714.0,2452.0
110,2760.0,3498.0
111,2766.0,2495.0
112,2798.0,2524.0
113,3027.0,2690.0
114,2834.0,2556.0
115,2952.0,1281.0
116,2965.0,2637.0
117,2975.0,2641.0
118,2980.0,2644.0
119,2994.0,2652.0
120,3025.0,2689.0
121,3032.0,2698.0
122,3077.0,2717.0
123,3105.0,2734.0
124,3141.0,2795.0
125,3213.0,2860.0
126,3220.0,4219.0
127,3232.0,2887.0
128,3244.0,2893.0
129,3264.0,2902.0
130,3278.0,2912.0
131,3288.0,2922.0
132,3359.0,3007.0
133,3373.0,2370.0
134,3419.0,3064.0
135,3478.0,3099.0
136,3537.0,3144.0
137,4676.0,4213.0
138,3579.0,3168.0
139,3581.0,3172.0
140,3655.0,3218.0
141,3697.0,3262.0
142,3787.0,3311.0
143,3794.0,3319.0
144,3800.0,3331.0
145,3821.0,3342.0
146,3833.0,3358.0
147,3854.0,3385.0
148,3874.0,3429.0
149,3884.0,3437.0
150,3904.0,3450.0
151,3905.0,3451.0
152,3930.0,3462.0
153,3933.0,3473.0
154,3998.0,3507.0
155,4023.0,3521.0
156,4058.0,3545.0
157,4059.0,3551.0
158,4075.0,3566.0
159,4101.0,3609.0
160,4111.0,3613.0
161,4115.0,3615.0
162,4129.0,3638.0
163,4132.0,3626.0
164,4141.0,3664.0
165,4155.0,3686.0
166,4156.0,3687.0
167,4169.0,3695.0
168,4186.0,3703.0
169,4192.0,3721.0
170,4203.0,3734.0
171,4221.0,3757.0
172,4239.0,3775.0
173,4241.0,3776.0
174,4251.0,3811.0
175,4255.0,3820.0
176,4265.0,3840.0
177,4278.0,3843.0
178,4282.0,3853.0
179,4284.0,3871.0
180,4289.0,3696.0
181,4304.0,3892.0
182,4311.0,3895.0
183,4316.0,3899.0
184,4359.0,3934.0
185,4367.0,3952.0
186,4376.0,2229.0
187,4377.0,3959.0
188,4401.0,3987.0
189,4412.0,4011.0
190,4420.0,4015.0
191,4436.0,4019.0
192,4443.0,4027.0
193,4502.0,4086.0
194,4524.0,4118.0
195,4530.0,4135.0
196,4533.0,4138.0
197,4624.0,4176.0
198,4649.0,4188.0
199,4656.0,4189.0
200,4658.0,4191.0
201,4673.0,4210.0
202,4675.0,4211.0
203,4726.0,4243.0
204,4736.0,4244.0
205,4749.0,4252.0
206,4750.0,2743.0
207,4836.0,4357.0
208,4843.0,1451.0
209,4853.0,4412.0
210,4854.0,4411.0
211,4930.0,4531.0
212,4931.0,4532.0
213,4935.0,4540.0
