,CARMA,ESE
0,177.0,3.0
1,181.0,4.0
2,321.0,5.0
3,438.0,8.0
4,505.0,9.0
5,602.0,10.0
6,828.0,11.0
7,1015.0,140.0
8,1100.0,13.0
9,1115.0,14.0
10,1380.0,16.0
11,1641.0,19.0
12,1957.0,272.0
13,2033.0,21.0
14,3093.0,27.0
15,3197.0,28.0
16,3608.0,34.0
17,3760.0,169.0
18,3952.0,37.0
19,4055.0,38.0
20,4066.0,39.0
21,4150.0,186.0
22,4306.0,40.0
23,4656.0,47.0
24,4824.0,55.0
25,4993.0,54.0
26,5083.0,59.0
27,5397.0,227.0
28,5486.0,86.0
29,5558.0,87.0
30,5594.0,89.0
31,5668.0,91.0
32,5854.0,96.0
33,5886.0,101.0
34,5946.0,233.0
35,6192.0,107.0
36,6435.0,112.0
37,6444.0,113.0
38,6548.0,305.0
39,6629.0,115.0
40,6892.0,117.0
41,6936.0,119.0
42,6968.0,120.0
43,7245.0,127.0
44,7391.0,114.0
45,7427.0,128.0
46,7431.0,129.0
47,8320.0,135.0
48,8788.0,141.0
49,9105.0,153.0
50,9534.0,155.0
51,9848.0,156.0
52,9849.0,157.0
53,10028.0,159.0
54,10053.0,160.0
55,10364.0,166.0
56,10671.0,172.0
57,11235.0,187.0
58,11238.0,217.0
59,11556.0,179.0
60,11653.0,180.0
61,12414.0,29.0
62,12473.0,184.0
63,12524.0,185.0
64,12952.0,289.0
65,13123.0,193.0
66,13124.0,194.0
67,13900.0,199.0
68,14225.0,248.0
69,14513.0,201.0
70,14596.0,202.0
71,14739.0,204.0
72,14780.0,206.0
73,14857.0,170.0
74,14887.0,207.0
75,14945.0,51.0
76,15003.0,208.0
77,15032.0,209.0
78,15262.0,213.0
79,15446.0,215.0
80,15540.0,219.0
81,15635.0,222.0
82,15743.0,224.0
83,15798.0,225.0
84,15855.0,226.0
85,15863.0,231.0
86,15936.0,228.0
87,16193.0,274.0
88,16268.0,232.0
89,16518.0,234.0
90,16755.0,235.0
91,16973.0,237.0
92,17417.0,265.0
93,17513.0,269.0
94,17853.0,270.0
95,17979.0,64.0
96,18193.0,276.0
97,18212.0,278.0
98,18228.0,279.0
99,18244.0,280.0
100,18473.0,287.0
101,18679.0,291.0
102,18688.0,290.0
103,18975.0,294.0
104,19204.0,297.0
105,19558.0,299.0
106,19599.0,78.0
107,19600.0,205.0
108,19702.0,303.0
109,19792.0,304.0
110,19837.0,306.0
111,20136.0,308.0
112,20153.0,309.0
113,20278.0,311.0
114,20335.0,314.0
115,20642.0,316.0
116,20844.0,321.0
117,21007.0,322.0
