,CARMA,OPSD
0,17.0,3.0
1,18.0,4.0
2,19.0,5.0
3,20.0,6.0
4,28.0,8.0
5,36.0,10.0
6,40.0,4923.0
7,43.0,17.0
8,52.0,19.0
9,66.0,22.0
10,67.0,23.0
11,68.0,4668.0
12,74.0,30.0
13,78.0,2271.0
14,88.0,31.0
15,97.0,35.0
16,115.0,2212.0
17,131.0,816.0
18,133.0,4915.0
19,141.0,2913.0
20,167.0,45.0
21,177.0,52.0
22,179.0,53.0
23,185.0,55.0
24,187.0,57.0
25,197.0,60.0
26,202.0,61.0
27,204.0,63.0
28,218.0,65.0
29,220.0,67.0
30,223.0,69.0
31,225.0,70.0
32,234.0,1185.0
33,13440.0,3217.0
34,247.0,76.0
35,250.0,77.0
36,252.0,78.0
37,254.0,79.0
38,261.0,151.0
39,262.0,4204.0
40,267.0,82.0
41,271.0,3684.0
42,272.0,86.0
43,315.0,103.0
44,291.0,94.0
45,293.0,3932.0
46,294.0,3295.0
47,303.0,98.0
48,306.0,4136.0
49,311.0,301.0
50,312.0,1101.0
51,313.0,3939.0
52,321.0,105.0
53,323.0,107.0
54,344.0,110.0
55,362.0,119.0
56,370.0,123.0
57,383.0,201.0
58,384.0,124.0
59,387.0,125.0
60,394.0,128.0
61,395.0,129.0
62,399.0,130.0
63,416.0,137.0
64,422.0,139.0
65,9184.0,2321.0
66,435.0,140.0
67,447.0,2139.0
68,455.0,142.0
69,461.0,145.0
70,478.0,146.0
71,486.0,148.0
72,490.0,149.0
73,509.0,150.0
74,540.0,155.0
75,545.0,162.0
76,546.0,163.0
77,551.0,165.0
78,565.0,167.0
79,572.0,4925.0
80,576.0,4916.0
81,577.0,4917.0
82,581.0,172.0
83,588.0,173.0
84,596.0,176.0
85,602.0,177.0
86,629.0,188.0
87,636.0,3065.0
88,654.0,214.0
89,670.0,199.0
90,671.0,200.0
91,680.0,202.0
92,694.0,206.0
93,702.0,211.0
94,708.0,212.0
95,730.0,215.0
96,740.0,2423.0
97,769.0,229.0
98,772.0,231.0
99,775.0,236.0
100,776.0,237.0
101,783.0,239.0
102,795.0,396.0
103,796.0,242.0
104,806.0,244.0
105,814.0,246.0
106,816.0,2168.0
107,818.0,249.0
108,819.0,251.0
109,832.0,254.0
110,837.0,256.0
111,840.0,257.0
112,842.0,2031.0
113,845.0,258.0
114,19918.0,4754.0
115,872.0,266.0
116,873.0,267.0
117,875.0,268.0
118,876.0,269.0
119,885.0,270.0
120,894.0,274.0
121,896.0,275.0
122,901.0,279.0
123,904.0,281.0
124,915.0,3911.0
125,917.0,283.0
126,923.0,284.0
127,924.0,285.0
128,926.0,280.0
129,957.0,4919.0
130,958.0,287.0
131,967.0,288.0
132,978.0,289.0
133,987.0,291.0
134,1009.0,293.0
135,1015.0,2103.0
136,1023.0,296.0
137,1031.0,298.0
138,1041.0,168.0
139,1044.0,305.0
140,1063.0,307.0
141,1065.0,308.0
142,1067.0,309.0
143,1077.0,310.0
144,1081.0,311.0
145,1082.0,312.0
146,1086.0,313.0
147,1100.0,316.0
148,1115.0,332.0
149,1132.0,1930.0
150,1135.0,330.0
151,1145.0,331.0
152,1154.0,333.0
153,1172.0,353.0
154,1182.0,432.0
155,1185.0,693.0
156,1188.0,669.0
157,1189.0,355.0
158,1203.0,360.0
159,1208.0,361.0
160,1211.0,695.0
161,1217.0,364.0
162,1229.0,4898.0
163,1245.0,367.0
164,1250.0,369.0
165,1264.0,373.0
166,1284.0,374.0
167,1292.0,378.0
168,1298.0,380.0
169,1311.0,382.0
170,1316.0,1827.0
171,1317.0,386.0
172,1320.0,387.0
173,1324.0,3989.0
174,1331.0,388.0
175,1333.0,389.0
176,1336.0,392.0
177,1339.0,2459.0
178,1340.0,394.0
179,1344.0,405.0
180,1345.0,1501.0
181,1410.0,407.0
182,1348.0,423.0
183,1352.0,3546.0
184,1360.0,227.0
185,1371.0,694.0
186,1377.0,397.0
187,1380.0,398.0
188,1381.0,399.0
189,1390.0,401.0
190,1404.0,403.0
191,1412.0,406.0
192,1414.0,410.0
193,1415.0,411.0
194,1420.0,412.0
195,1432.0,402.0
196,1458.0,415.0
197,1469.0,417.0
198,1472.0,419.0
199,1473.0,420.0
200,1475.0,421.0
201,1480.0,422.0
202,1489.0,696.0
203,1494.0,2148.0
204,20328.0,4809.0
205,1508.0,427.0
206,1526.0,1290.0
207,1534.0,435.0
208,1576.0,503.0
209,2787.0,672.0
210,1610.0,452.0
211,1627.0,454.0
212,1628.0,455.0
213,1637.0,3456.0
214,1654.0,459.0
215,1657.0,460.0
216,1674.0,463.0
217,1687.0,474.0
218,1688.0,464.0
219,1705.0,468.0
220,1723.0,469.0
221,1728.0,470.0
222,1729.0,584.0
223,1747.0,2926.0
224,1770.0,475.0
225,1779.0,476.0
226,1786.0,222.0
227,1787.0,477.0
228,1791.0,478.0
229,1804.0,480.0
230,1825.0,483.0
231,1830.0,485.0
232,1831.0,484.0
233,1840.0,504.0
234,1852.0,4685.0
235,1877.0,511.0
236,1886.0,512.0
237,19379.0,884.0
238,1901.0,515.0
