Name,Block,Technology,Capacity,DateIn,DateRetrofit,Country,lat,lon,Fueltype,source
BR-3,1,PWR,10,1962,1987,Belgium,,,Nuclear,
Doel,1,PWR,433,1975,2025,Belgium,51.324722222222,4.2587472222222,Nuclear,
Doel,2,PWR,433,1975,2025,Belgium,51.324722222222,4.2587472222222,Nuclear,
Doel,3,PWR,1006,1982,2022,Belgium,51.324722222222,4.2587472222222,Nuclear,
Doel,4,PWR,1038,1985,2025,Belgium,51.324722222222,4.2587472222222,Nuclear,
Tihange,1,PWR,962,1975,2025,Belgium,50.534627777778,5.2725333333333,Nuclear,
Tihange,2,PWR,1038,1983,2023,Belgium,50.534627777778,5.2725333333333,Nuclear,
Tihange,3,PWR,1038,1985,2025,Belgium,50.534627777778,5.2725333333333,Nuclear,
Kosloduj,1,PWR,408,1974,2002,Bulgaria,43.746138888889,23.770505555556,Nuclear,
Kosloduj,2,PWR,408,1975,2002,Bulgaria,43.746138888889,23.770505555556,Nuclear,
Kosloduj,3,PWR,408,1981,2006,Bulgaria,43.746138888889,23.770505555556,Nuclear,
Kosloduj,4,PWR,408,1982,2006,Bulgaria,43.746138888889,23.770505555556,Nuclear,
Kosloduj,5,PWR,963,1988,–,Bulgaria,43.746138888889,23.770505555556,Nuclear,
Kosloduj,6,PWR,1003,1993,–,Bulgaria,43.746138888889,23.770505555556,Nuclear,
Biblis (KWB),A,Druckwasserreaktor,1.167,1974,2011,Germany,49.71,8.4152777777778,Nuclear,
Biblis (KWB),B,Druckwasserreaktor,1.240,1976,2011,Germany,49.71,8.4152777777778,Nuclear,
Brokdorf (KBR),–,Druckwasserreaktor,1.410,1986,2021,Germany,53.850833333333,9.3447222222222,Nuclear,
Brunsbüttel (KKB),–,Siedewasserreaktor,771,1976,2011,Germany,53.891666666667,9.2016666666667,Nuclear,
Emsland (KKE),–,Druckwasserreaktor,1.329,1988,2022,Germany,52.474230555556,7.3178583333333,Nuclear,
Grafenrheinfeld (KKG),–,Druckwasserreaktor,1.275,1981,2015,Germany,49.984086111111,10.184669444444,Nuclear,
Greifswald (KGR),1,WWER-440/230,408,1973,1990,Germany,54.140586111111,13.664422222222,Nuclear,
Greifswald (KGR),2,WWER-440/230,408,1974,1990,Germany,54.140586111111,13.664422222222,Nuclear,
